"","Module","Policy","ISO","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source","Policy_name_fig_1","Policy_name_fig_2_3","Policy_name_fig_4","Market_non_market","Cluster_categories","label","High_income"
"32","Transport","Labels Passenger Cars","GBR",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"33","Transport","Labels Passenger Cars","SWE",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"34","Transport","Labels Passenger Cars","GRC",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"35","Transport","Labels Passenger Cars","BEL",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"36","Transport","Labels Passenger Cars","AUT",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"37","Transport","Labels Passenger Cars","FRA",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"38","Transport","Labels Passenger Cars","ESP",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"39","Transport","Labels Passenger Cars","FIN",1999,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"40","Buildings","Financial support","HUN",2000,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"41","Buildings","MEPS of appliances","BRA",2000,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"42","Buildings","MEPS of appliances","COL",2000,5,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"43","Electricity","AirEmissionStandards","HUN",2000,2,"NMBI","Performance Standards",2,2,1,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"44","Electricity","AirEmissionStandards","SWE",2000,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"45","Electricity","AirEmissionStandards","SVK",2000,2,"NMBI","Performance Standards",2,2,1,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"46","Transport","Excise Tax Transport","JPN",2000,5,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"47","Transport","Financial support","NOR",2000,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"48","Transport","Investment in Rail Infrastructure","IRL",2000,4,"NMBI","Other NMBI",3,3,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"49","Transport","Investment in Rail Infrastructure","NOR",2000,6,"NMBI","Other NMBI",3,1,0,1,0,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"50","Transport","Labels Passenger Cars","RUS",2000,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",0
"51","Buildings","BuildingEnergyCodes","KOR",2001,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",0
"52","Buildings","Financial support","CZE",2001,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"53","Buildings","Financial support","FRA",2001,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"54","Buildings","Labels Appliances","NOR",2001,8,"NMBI","Information",3,3,0,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",1
"55","Buildings","MEPS of appliances","AUS",2001,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"56","Electricity","Auction","DEU",2001,2,"MBI","Subsidy",2,2,1,1,1,"OECD","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","jump",1
"57","Electricity","Feed-In-Tariffs","FRA",2001,3,"MBI","Subsidy",2,0,0,1,0,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"58","Electricity","Feed-In-Tariffs","HUN",2001,3,"MBI","Subsidy",3,0,1,1,0,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"59","Electricity","Renewable energy certificates","AUS",2001,1,"MBI","Subsidy",1,1,1,0,0,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"60","Transport","Investment in Rail Infrastructure","CZE",2001,10,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"61","Transport","Investment in Rail Infrastructure","ITA",2001,9,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"62","Transport","Investment in Rail Infrastructure","RUS",2001,10,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",0
"63","Transport","Investment in Rail Infrastructure","SVK",2001,8,"NMBI","Other NMBI",4,5,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"64","Transport","Labels Passenger Cars","AUS",2001,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"65","Transport","Taxation","GBR",2001,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Vehicle tax (cars)","Vehicle tax","Taxation (vehicle)","Market","Pricing","jump",1
"66","Buildings","Excise Taxes Buildings","POL",2002,1,"MBI","Carbon Pricing",1,1,1,0,0,"OECD","Fuel tax","Fuel tax","Taxation","Market","Pricing","jump",1
"67","Buildings","Financial support","FRA",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"68","Buildings","Financial support","JPN",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"69","Buildings","Financial support","NOR",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"70","Buildings","Labels Appliances","NZL",2002,8,"NMBI","Information",5,5,0,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",1
"71","Buildings","Labels Appliances","CHE",2002,5,"NMBI","Information",5,5,1,1,1,"OECD","Label (appliances)","Label","Label","Non-market","Information","jump",1
"72","Buildings","MEPS of appliances","NZL",2002,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"73","Electricity","AirEmissionStandards","NOR",2002,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"74","Electricity","AirEmissionStandards","CZE",2002,5,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"75","Electricity","AirEmissionStandards","SWE",2002,5,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"76","Electricity","AirEmissionStandards","AUS",2002,2,"NMBI","Performance Standards",2,2,1,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"77","Electricity","AirEmissionStandards","FIN",2002,6,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"78","Electricity","AirEmissionStandards","DEU",2002,6,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"79","Electricity","Feed-In-Tariffs","IND",2002,5,"MBI","Subsidy",2,2,0,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0
"80","Electricity","Feed-In-Tariffs","BRA",2002,4,"MBI","Subsidy",4,4,1,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0
"81","Electricity","Feed-In-Tariffs","CZE",2002,4,"MBI","Subsidy",4,4,1,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"82","Electricity","Renewable energy certificates","ITA",2002,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"83","Electricity","Renewable subsidy","COL",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0
"84","Industry","Financing mechanism","BEL",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",1
"85","Industry","MEPS electric motors","NZL",2002,7,"NMBI","Performance Standards",7,7,1,1,1,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"86","Industry","MEPS electric motors","AUS",2002,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"87","Transport","Financial support","SWE",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"88","Transport","Investment in Rail Infrastructure","ROU",2002,3,"NMBI","Other NMBI",2,2,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"89","Transport","Investment in Rail Infrastructure","ESP",2002,7,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"90","Transport","Investment in Rail Infrastructure","GRC",2002,7,"NMBI","Other NMBI",4,1,0,1,0,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"91","Transport","Labels Passenger Cars","CHE",2002,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"92","Transport","Taxation","GBR",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Vehicle tax (cars)","Vehicle tax","Taxation (vehicle)","Market","Pricing","jump",1
"93","Buildings","Carbon Tax Buildings","SWE",2003,10,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Carbon tax","Carbon tax","Taxation","Market","Pricing","jump",1
"94","Buildings","Excise Taxes Buildings","DEU",2003,4,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel tax","Fuel tax","Taxation","Market","Pricing","jump",1
"95","Buildings","Excise Taxes Buildings","AUT",2003,4,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel tax","Fuel tax","Taxation","Market","Pricing","jump",1
"96","Buildings","MEPS of appliances","CHN",2003,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"97","Electricity","AirEmissionStandards","GBR",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"98","Electricity","AirEmissionStandards","DNK",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"99","Electricity","AirEmissionStandards","IRL",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"100","Electricity","AirEmissionStandards","PRT",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"101","Electricity","AirEmissionStandards","HUN",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"102","Electricity","AirEmissionStandards","CAN",2003,7,"NMBI","Performance Standards",7,7,1,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"103","Electricity","Feed-In-Tariffs","NLD",2003,2,"MBI","Subsidy",2,2,1,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"104","Electricity","Feed-In-Tariffs","AUT",2003,3,"MBI","Subsidy",2,2,0,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",1
"105","Electricity","Feed-In-Tariffs","KOR",2003,4,"MBI","Subsidy",4,4,1,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0
"106","Electricity","Renewable energy certificates","JPN",2003,2,"MBI","Subsidy",2,2,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"107","Electricity","Renewable energy certificates","GBR",2003,4,"MBI","Subsidy",4,4,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"108","Electricity","Renewable energy certificates","BEL",2003,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"109","Electricity","Renewable energy certificates","SWE",2003,6,"MBI","Subsidy",6,6,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1
"110","Industry","Excise Taxes Industry","AUT",2003,5,"MBI","Carbon Pricing",2,3,0,1,1,"OECD","Fuel tax","Fuel tax","Taxation","Market","Pricing","jump",1
"111","Transport","Carbon Tax Transport","SWE",2003,10,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Carbon tax","Carbon tax","Taxation (driving)","Market","Pricing","jump",1
"112","Transport","Carbon Tax Transport","FIN",2003,6,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Carbon tax","Carbon tax","Taxation (driving)","Market","Pricing","jump",1
"113","Transport","Congestion Charges","GBR",2003,8,"MBI","Other MBI",8,8,1,1,1,"OECD","Road toll","Road toll","Taxation (driving)","Market","Pricing","jump",1
"114","Transport","Congestion Charges","NOR",2003,4,"MBI","Other MBI",2,3,0,1,1,"OECD","Road toll","Road toll","Taxation (driving)","Market","Pricing","jump",1
"115","Transport","Excise Tax Transport","FRA",2003,7,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"116","Transport","Excise Tax Transport","IRL",2003,5,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"117","Transport","Excise Tax Transport","CHE",2003,8,"MBI","Carbon Pricing",2,3,0,1,1,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"118","Transport","Excise Tax Transport","DEU",2003,9,"MBI","Carbon Pricing",3,4,0,1,1,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"119","Transport","Investment in Rail Infrastructure","DEU",2003,8,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"120","Transport","Investment in Rail Infrastructure","POL",2003,3,"NMBI","Other NMBI",2,2,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"121","Transport","Investment in Rail Infrastructure","PRT",2003,6,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"122","Transport","Investment in Rail Infrastructure","GRC",2003,9,"NMBI","Other NMBI",2,6,0,1,0,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"123","Transport","Vehicle tax","ROU",2003,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Vehicle tax (cars)","Vehicle tax","Taxation (vehicle)","Market","Pricing","jump",1
"124","Buildings","BuildingEnergyCodes","BGR",2004,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
"125","Buildings","BuildingEnergyCodes","AUS",2004,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
"126","Buildings","Carbon Tax Buildings","FIN",2004,6,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Carbon tax","Carbon tax","Taxation","Market","Pricing","jump",1
"127","Buildings","Financial support","BEL",2004,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"128","Buildings","Financial support","FRA",2004,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"129","Buildings","Financial support","SWE",2004,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Adoption subsidy","Adoption subsidy","Adoption subsidy","Market","Subsidy","jump",1
"130","Buildings","MEPS of appliances","KOR",2004,10,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"131","Buildings","MEPS of appliances","NZL",2004,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Performance standard (appliances)","Performance standard","Performance standard","Non-market","Regulation","jump",1
"132","Electricity","AirEmissionStandards","BEL",2004,7,"NMBI","Performance Standards",5,5,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"133","Electricity","AirEmissionStandards","ESP",2004,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"134","Electricity","AirEmissionStandards","FRA",2004,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1
"135","Industry","Financing mechanism","KOR",2004,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",0
"136","Industry","Financing mechanism","BEL",2004,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",1
"137","Industry","MEPS electric motors","MEX",2004,7,"NMBI","Performance Standards",7,7,1,1,1,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",0
"138","Transport","Excise Tax Transport","CZE",2004,5,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"139","Transport","Excise Tax Transport","JPN",2004,5,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"140","Transport","Excise Tax Transport","AUT",2004,5,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"141","Transport","Excise Tax Transport","IRL",2004,7,"MBI","Carbon Pricing",2,4,0,1,0,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"142","Transport","Excise Tax Transport","FRA",2004,9,"MBI","Carbon Pricing",2,4,0,1,0,"OECD","Fuel tax","Fuel tax","Taxation (driving)","Market","Pricing","jump",1
"143","Transport","Investment in Rail Infrastructure","TUR",2004,4,"NMBI","Other NMBI",2,3,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",0
"144","Transport","Investment in Rail Infrastructure","SWE",2004,8,"NMBI","Other NMBI",2,2,0,1,1,"OECD","Public expenditure for rail","Public expenditure for rail","Public expenditure for rail","Non-market","Subsidy","jump",1
"145","Transport","Labels Passenger Cars","CZE",2004,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"146","Transport","Labels Passenger Cars","SVK",2004,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"147","Transport","Labels Passenger Cars","HUN",2004,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"148","Transport","Labels Passenger Cars","POL",2004,10,"NMBI","Information",10,10,1,1,1,"OECD","Label (cars)","Label ","Label ","Non-market","Information","jump",1
"149","Buildings","BuildingEnergyCodes","IDN",2005,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",0
"150","Buildings","BuildingEnergyCodes","ITA",2005,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building code","Building code","Building code","Non-market","Regulation","jump",1
